team,abbr,w,l,pct,gb,wcgb,L10,streak,runs,runs_against,run_diff,expected,home,away,vs_500
Boston,BOS,108,54,.667,-,-,5-5,W1,876,647,+229,103-59,57-24,51-30,41-33
Houston,HOU,103,59,.636,5.0,-,8-2,L1,797,534,+263,109-53,46-35,57-24,41-38
NY Yankees,NYY,100,62,.617,8.0,+3.0,7-3,L1,851,669,+182,98-64,53-28,47-34,41-30
Oakland,OAK,97,65,.599,11.0,-,6-4,L1,813,674,+139,95-67,50-31,47-34,33-40
Milwaukee,MIL,96,67,.589,12.5,-,9-1,W8,754,659,+95,91-72,51-30,45-37,49-46
Chi Cubs,CHC,95,68,.583,13.5,+4.0,6-4,L1,761,645,+116,94-69,51-31,44-37,49-46
LA Dodgers,LAD,92,71,.564,16.5,-,7-3,W4,804,610,+194,102-61,45-37,47-34,51-38
Cleveland,CLE,91,71,.562,17.0,-,6-4,W1,818,648,+170,98-64,49-32,42-39,23-31
Colorado,COL,91,72,.558,17.5,-,8-2,L1,780,745,+35,85-78,47-34,44-38,48-44
Atlanta,ATL,90,72,.556,18.0,-,6-4,L2,759,657,+102,92-70,43-38,47-34,38-40
Tampa Bay,TAM,90,72,.556,18.0,7.0,5-5,W2,716,646,+70,89-73,51-30,39-42,34-39
Seattle,SEA,89,73,.549,19.0,8.0,5-5,W3,677,711,-34,77-85,45-36,44-37,39-38
St. Louis,STL,88,74,.543,20.0,2.5,4-6,L1,759,691,+68,88-74,43-38,45-36,50-43
Pittsburgh,PIT,82,79,.509,25.5,8.0,5-5,W1,692,693,-1,80-81,44-36,38-43,39-53
Arizona,ARI,82,80,.506,26.0,8.5,4-6,L1,693,644,+49,86-76,40-41,42-39,42-48
Washington,WSH,82,80,.506,26.0,8.5,5-5,L1,771,682,+89,90-72,41-40,41-40,33-44
LA Angels,LAA,80,82,.494,28.0,17.0,5-5,W1,721,722,-1,81-81,42-39,38-43,35-61
Philadelphia,PHI,80,82,.494,28.0,10.5,2-8,W2,677,728,-51,76-86,49-32,31-50,44-50
Minnesota,MIN,78,84,.481,30.0,19.0,7-3,W6,738,775,-37,77-85,49-32,29-52,29-47
NY Mets,NYM,77,85,.475,31.0,13.5,7-3,W2,676,707,-31,78-84,37-44,40-41,40-57
San Francisco,SFG,73,89,.451,35.0,17.5,1-9,L4,603,699,-96,70-92,42-39,31-50,47-63
Toronto,TOR,73,89,.451,35.0,24.0,4-6,L2,709,832,-123,69-93,40-41,33-48,31-60
Cincinnati,CIN,67,95,.414,41.0,23.5,2-8,L1,696,819,-123,69-93,37-44,30-51,44-71
Texas,TEX,67,95,.414,41.0,30.0,3-7,L3,737,848,-111,71-91,34-47,33-48,33-61
San Diego,SDG,66,96,.407,42.0,24.5,6-4,W1,617,767,-150,65-97,31-50,35-46,42-66
Detroit,DET,64,98,.395,44.0,33.0,3-7,L5,630,796,-166,64-98,38-43,26-55,21-53
Miami,MIA,63,98,.391,44.5,27.0,4-6,L2,589,809,-220,58-103,38-43,25-55,34-62
Chi White Sox,CHW,62,100,.383,46.0,35.0,2-8,L5,656,848,-192,62-100,30-51,32-49,24-51
Kansas City,KAN,58,104,.358,50.0,39.0,6-4,L1,638,833,-195,62-100,32-49,26-55,18-56
Baltimore,BAL,47,115,.290,61.0,50.0,3-7,W1,622,892,-270,55-107,28-53,19-62,26-67
